hostname,hasFingerprinting,hasSecurityAttribute,blocked
telecharger-videos-youtube.com,false,false,false
timesofisrael.com,false,false,false
typingtest.com,false,false,false
myportfolio.com,false,false,false
mercadolibre.com.ec,true,false,false
mastercard.us,false,false,false
coolors.co,false,false,false
chanel.com,false,false,false
gledalica.com,false,true,false
extratorrent.si,false,false,false
duote.com,false,false,false
briian.com,false,false,false
damai.cn,false,true,false
neoseeker.com,false,false,false
nicmusic.net,false,false,false
daftporn.com,false,false,false
oriflame.ru,true,false,false
royalcaribbean.com,false,false,false
politfox.ru,false,false,true
microsoftcasualgames.com,false,false,false
tomovie.net,false,false,false
mediotiempo.com,false,false,false
portfolio.adobe.com,false,true,false
postype.com,false,false,false
telnavi.jp,false,false,false
download.com.vn,false,false,false
educacao.uol.com.br,true,false,false
variflight.com,false,false,false
teamup.com,false,false,false
spcs.me,false,true,false
cartooncrazy.net,false,false,true
okaytab.com,false,false,false
islamway.net,false,false,false
shape.com,false,false,true
akhbaralaan.net,false,false,false
digitalplayground.com,false,false,false
phoenixads.co.in,false,false,false
mrvideospornogratis.xxx,false,false,false
ugr.es,false,false,false
apost.com,false,false,false
emis.gov.eg,false,false,false
acg18.us,false,false,false
riperam.org,false,false,true
sovets.net,false,false,false
ar.islamway.net,false,false,false
techinasia.com,false,true,false
ilovematlab.cn,false,false,false
meishij.net,false,false,false
plaisio.gr,false,false,false
home8080.cn,false,false,false
heart.org,false,false,false
karnataka.gov.in,false,false,false
officeholidays.com,false,false,false
auchan.fr,false,false,false
500.com,false,false,false
sebrae.com.br,false,false,false
mcmaster.ca,false,false,false
lolking.net,false,false,false
tvtc.gov.sa,false,false,false
wayfair.ca,true,true,true
downsub.com,true,false,false
genbeta.com,false,false,false
tikona.in,false,false,false
noticias24.com,false,false,false
charter97.org,false,false,false
hochi.co.jp,false,false,false
lasestrellas.tv,true,false,false
abidjan.net,false,false,false
xinnet.com,false,false,false
wyndhamhotels.com,false,false,true
haixombia.com,false,false,false
pagesperso-orange.fr,false,false,false
appdatum.com,false,false,false
gaoqingkong.com,false,false,false
easyfileconvert.com,false,false,true
prodigygame.com,false,false,false
hostinger.com,true,true,false
pp.auto.ke.orange.fr,false,false,false
rawqq.com,false,true,false
shopstyle.co.uk,false,true,false
llbean.com,false,false,false
shareasale-analytics.com,false,false,false
apkhome.net,false,false,false
sosh.fr,false,false,false
gooool.org,false,false,false
gyakorikerdesek.hu,false,false,false
drive.ru,false,false,false
85nian.net,false,false,false
anibis.ch,false,true,false
hdlava.me,false,false,false
clevelandclinic.org,false,false,false
givingassistant.org,true,false,false
royallib.com,false,false,false
shareasale.com,false,false,false
avid.com,false,false,false
opodo.de,false,false,false
filmesetorrent.net,false,false,false
global.llbean.com,false,false,false
hhs.gov,false,false,false
sportsnet.ca,false,false,false
wook.pt,true,false,false
olx.com.ar,true,false,true
my.clevelandclinic.org,false,false,false
malaysiaairlines.com,true,true,false
dr.com.tr,false,false,false
laizquierdadiario.com,false,false,false
game.co.uk,true,false,false
medcom.id,false,false,false
bestlifeonline.com,true,true,false
luxuretv.com,false,false,false
boards.ie,false,false,true
wartaekonomi.co.id,false,false,false
aspor.com.tr,false,false,false
mineduc.cl,false,false,false
puzzle-english.com,false,false,false
pornerbros.com,false,false,false
olx.com.ve,false,false,true
6play.fr,false,false,false
tipico.de,false,false,false
egloos.com,false,false,false
juspay.in,false,false,false
twistedporn.com,false,false,false
syr.edu,false,false,false
tipico.fr,false,false,false
ge.com,false,false,true
90min.com,true,true,false
tomshw.it,true,true,false
emc.com,false,false,false
cnsat.net,false,false,false
top-feed.ru,false,false,false
jjgirls.com,false,false,false
unknowncheats.me,false,false,false
syracuse.edu,false,false,false
mrrebates.com,false,false,false
play.pl,false,false,false
xunyingwang.com,false,false,false
sce.com,false,false,false
rbc.ua,true,true,false
convert-video-online.com,false,false,false
deichmann.com,true,true,false
alodoctor.com,false,false,false
arynews.tv,false,false,false
dellemc.com,false,false,false
dongqiudi.com,false,false,false
psychcentral.com,false,false,false
sayidaty.net,false,false,false
lidovky.cz,true,false,false
supload.com,false,false,false
srt.am,false,false,false
cairn.info,false,false,true
ondemandkorea.com,false,false,false
login.gov,false,false,false
fineartamerica.com,false,false,false
williams-sonoma.com,false,false,false
photoshop-master.ru,false,false,false
megabus.com,false,true,false
ytthn.com,false,false,false
huffingtonpost.kr,false,false,false
ru-clip.net,true,true,false
ped-kopilka.ru,false,false,false
chromium.org,false,false,false
owlcation.com,false,false,false
trannytube.tv,false,false,false
opinionsample.com,false,false,false
findprice.com.tw,false,false,false
9xmovies.org,false,false,false
kiwireport.com,true,true,false
vintage-erotica-forum.com,true,true,false
cztorrent.net,false,false,false
imperiya.by,false,false,false
cnscg.com,false,false,false
zoombangla.com,false,false,false
flightclub.com,true,false,false
lulus.com,true,true,false
pmi.org,false,false,false
tportal.hr,true,false,false
tracker.cztorrent.net,false,false,false
newspapers.com,false,false,false
jus.com.br,false,false,false
1be.biz,false,false,false
speak-up.io,false,false,false
sz.gov.cn,false,false,false
yupoo.com,false,false,false
halifax.co.uk,false,false,true
clipzui.com,false,true,false
syfy.com,true,true,false
chinadigitaltimes.net,false,false,false
educacion.gob.es,false,false,false
dhnet.be,true,false,false
robertsspaceindustries.com,true,true,false
barneys.com,false,false,true
pctonics.com,false,false,false
adac.de,false,false,false
obec.go.th,false,false,false
vcg.com,true,false,false
tokyo2020.org,false,false,false
bakeca.it,false,false,false
icann.org,false,false,false
obi.de,true,false,false
id97.com,false,false,false
mecd.gob.es,false,false,false
psnprofiles.com,false,false,false
siol.net,false,false,false
pornodingue.com,true,true,false
nla.gov.au,false,false,false
skladchina.biz,false,false,false
web-ace.jp,false,false,false
garena.tw,false,false,false
pacogames.com,false,false,false
mapion.co.jp,false,false,false
finecomb.com,false,false,false
boxil.jp,false,false,false
cineca.it,false,false,false
myorderbox.com,false,false,false
globalreachtech.com,false,false,false
apple.news,false,false,false
civilica.com,false,false,false
ruralvia.com,false,false,false
videomore.ru,false,false,false
cgsociety.org,false,false,false
harley-davidson.com,false,false,true
shafa.ua,false,false,false
thehackernews.com,false,false,false
yunfile.com,false,false,false
myshows.me,false,false,false
flyeralarm.com,true,true,false
blutv.com.tr,true,false,false
appsflyer.com,true,false,false
level3.com,true,false,false
hypixel.net,false,false,false
vc.ru,true,false,false
sgk.gov.tr,false,false,false
pravda.ru,false,false,false
apple.com,false,false,false
eghtesadonline.com,false,false,false
alwadifa-maroc.com,false,false,false
tim.com.br,false,false,false
ponparemall.com,false,false,false
paidonlinesites.com,false,false,false
guo.media,false,false,false
meitulu.com,false,false,false
07073.com,false,false,false
labnol.org,false,false,false
kinguin.net,true,false,true
orsoon.com,false,false,false
cadenaser.com,false,false,false
tenplay.com.au,false,false,false
golfchannel.com,false,false,false
kitty-kats.net,false,false,false
trourted.pro,false,false,false
egexa.com,false,false,false
the-cinema.club,false,false,false
sofilmeshd.net,false,true,false
resizeimage.net,false,false,false
hearthstonetopdecks.com,false,false,false
yimg.com,false,false,false
ttinteractive.com,false,false,false
tubewee.com,false,false,false
arenabg.com,true,false,false
flixbus.de,true,true,false
aj1110.online,false,false,false
estrenosby.net,false,true,false
earthquaketrack.com,false,false,false
majorgeeks.com,false,false,true
oneman.gr,true,false,false
onclickrev.com,false,false,false
idianfa.com,false,false,false
pushmobilenews.com,false,false,false
fastspring.com,true,false,false
gestiopolis.com,false,false,false
ebgames.ca,false,true,false
teleman.pl,false,false,false
litmos.com,false,false,false
google.com,false,false,false
bigstockphoto.com,true,false,false
112.ua,false,true,false
systempay.fr,false,false,false
powershow.com,false,false,false
zapmeta.com.br,false,false,false
tepintehui.com,false,false,false
poringa.net,false,false,false
natixis.com,false,false,false
teknosa.com,true,false,false
culturacolectiva.com,false,false,false
pansoso.com,false,false,false
dumpert.nl,false,false,false
blueseek.com,false,false,false
adfoc.us,false,false,false
gmanga.me,false,false,false
4porn.com,false,false,false
ingdirect.it,false,false,false
campaign-archive.com,false,false,false
se.pl,true,true,false
jeurissen.co,false,false,false
merojax.tv,false,false,false
eligasht.com,false,false,false
pstatic.net,false,false,false
douploads.com,false,false,false
taishinbank.com.tw,false,false,false
hellporno.com,false,false,false
fazmusic.site,false,false,false
cumicumi.com,false,false,false
kwork.ru,false,false,false
utk.edu,false,false,false
synonym.com,true,true,false
sverigesradio.se,false,false,false
gotoknow.org,false,false,false
carlos.jeurissen.co,false,false,false
whatculture.com,false,false,false
listverse.com,false,false,false
bloomberg.co.jp,false,true,false
fc2blog.us,false,false,false
naver.com,false,false,false
zongheng.com,false,false,false
platinaline.com,false,false,false
beautifultrendstoday.com,true,true,false
zacks.com,false,false,false
blog.fc2.com,false,false,false
imgfile.net,false,false,false
qazal.net,false,false,false
tosinso.com,false,false,false
poppen.de,true,false,false
vidlox.tv,false,false,false
betazongheng.com,false,false,false
google.mn,false,false,false
mid.ru,false,false,false
se.com.sa,false,false,false
streamjav.net,true,false,false
dpd.de,false,false,false
imgvip.net,false,false,false
instyle.com,false,false,false
networksolutions.com,false,false,false
getyourguide.com,true,true,false
oscaro.com,false,false,false
quizizz.com,false,false,false
tchibo.de,true,false,false
upoint.id,true,false,false
dpd.com,false,false,false
guidegame.vn,false,false,false
naftemporiki.gr,false,false,false
zuojiaju.com,false,false,false
car-moby.jp,false,false,false
cinetux.to,false,true,false
bitsco.in,false,false,false
torrentmegafilmes.com,false,false,false
antfin-inc.com,false,false,false
qoo10.com,false,false,false
adverts.ie,false,false,false
30nama.fun,false,false,false
nielsen.com,false,false,false
head-fi.org,false,false,false
grtyo.com,false,false,false
matichon.co.th,false,false,false
settrade.com,false,false,false
xxxvideos247.com,true,true,false
1bestarinet.net,false,false,false
god-boss.net,false,false,false
betterfap.com,false,false,false
comdotgame.com,false,false,false
igxe.cn,false,false,false
rabobank.nl,false,false,false
infojobs.com.br,false,false,false
uchile.cl,false,false,false
btp.moe.gov.my,false,false,false
nrttv.com,false,false,false
desk.com,false,false,false
igromania.ru,false,false,false
30nama.win,false,false,false
login.squarespace.com,false,true,false
ktla.com,false,false,false
predictiondisplay.com,false,false,false
lavoz.com.ar,true,false,false
revolico.com,false,false,false
e-shop.gr,false,false,false
cqvip.com,false,false,false
wotsite.net,false,false,false
strato.de,false,false,false
dwindly.io,false,false,false
learncbse.in,false,false,false
ebc.com.br,false,false,false
kat.rip,false,true,false
silkroad.com,false,false,false
angularjs.org,false,false,false
vorkers.com,false,false,true
symplicity.com,false,false,false
storenvy.com,true,false,false
sh.gov.cn,false,false,false
78dm.net,false,false,false
myswitzerland.com,false,false,false
supersport.com,false,false,false
free-power-point-templates.com,true,true,false
udel.edu,false,false,false
clickjogos.com.br,true,false,false
shanghai.gov.cn,false,false,false
mon.gov.ua,false,false,false
cau.edu.cn,false,false,false
pravoved.ru,false,false,false
buyersdrive.com,false,false,false
tv.com,false,false,false
filmesonlinehd7.cc,false,true,false
jobinja.ir,false,false,false
javstore.net,false,false,false
fl.ru,false,false,false
kimovil.com,false,false,false
crnobelo.com,false,false,false
fortinet.com,true,false,false
joann.com,false,false,false
gigacircle.com,false,false,false
sbazar.cz,true,true,false
stitcher.com,false,false,false
asiamiles.com,true,true,false
utah.gov,false,false,false
questionfly.com,false,false,false
picstate.com,false,false,false
tz.de,true,false,false
trovit.com,false,false,false
tw.gigacircle.com,false,true,false
rbi.org.in,false,false,false
sexhubhd.com,false,false,false
perueduca.pe,false,false,false
cliver.tv,false,false,false
vicente-news.com,false,false,false
translated.net,false,false,false
afi-b.com,false,false,false
tube2012.com,false,false,false
goethe.de,false,false,false
cointiply.com,false,false,false
ets2.lt,false,false,false
elle.ru,false,false,false
nsp.gov.in,false,false,false
wikium.ru,false,false,false
bizfluent.com,true,true,false
very.co.uk,true,true,false
kmart.com,true,false,false
flyflv.com,true,true,false
kairalinewsonline.com,false,false,false
265.com,false,false,false
myrecipes.com,false,false,false
osdn.jp,false,false,false
leadpages.net,true,false,false
hyperactivz.com,true,true,false
webgains.com,false,false,false
useloom.com,false,false,false
virtualworldsland.com,false,false,false
oc-afc.site,false,false,false
insight.co.kr,false,false,false
acrobat.com,false,false,false
wageworks.com,false,false,false
sjsu.edu,false,false,false
1and1.es,true,false,false
gall-tarquin.com,false,false,false
express.com,true,true,true
news.am,false,false,false
nastyvideotube.com,false,false,false
ja.osdn.net,false,false,false
gingersoftware.com,false,false,false
numbeo.com,false,false,false
veseriesonline.com,false,false,false
ansarbank.com,false,false,false
bestchange.ru,false,false,false
18qt.com,false,false,false
arubanetworks.com,false,false,false
tvboxnow.com,false,false,false
acrobat.adobe.com,false,false,false
tripadvisor.co.za,false,false,false
brilliant.org,false,false,false
altadefinizione01.zone,false,true,false
handycafe.com,false,false,false
smo333.com,true,true,false
iaai.com,false,false,false
korzik.net,false,false,false
minds.com,false,false,false
lihkg.com,true,false,false
myunidays.com,false,true,false
altadefinizione01.film,false,true,false
juniper.net,false,false,false
onlineocr.net,false,false,false
eadaily.com,true,false,false
xunta.es,true,true,false
rutor.is,false,false,false
siilu.com,false,false,false
anu.edu.au,false,false,false
sirsi.net,false,false,false
goldcarpet.cn,false,false,false
xunta.gal,true,true,false
trudvsem.ru,false,false,false
happy-porn.com,false,false,false
mobile.free.fr,false,false,false
myamcat.com,false,false,false
teratail.com,false,false,false
smbcnikko.co.jp,false,false,true
moshahda.online,false,false,false
wtmtrack.com,false,false,false
ancestry.co.uk,false,true,false
daz3d.com,false,false,false
minutouno.com,false,false,false
pgyer.com,false,false,false
biography.com,false,false,false
elephanttube.com,false,false,false
shinobi.jp,false,false,false
hsn.com,false,false,false
redbrain.shop,false,false,false
dospara.co.jp,false,false,false
bauhaus.info,false,false,false
moneysupermarket.com,false,false,false
translit.net,false,false,false
revcontent.com,false,false,false
eurowings.com,true,true,false
native-instruments.com,true,true,false
dilbert.com,false,false,false
tudocelular.com,false,false,false
fpsc.gov.pk,false,false,false
telkom.co.za,false,false,false
balenciaga.com,false,false,false
baixarseriesmp4.com,false,false,false
hatenadiary.com,false,false,false
just-eat.co.uk,false,true,false
pge.com,false,false,false
eventhubs.com,false,false,false
baixarseriesmp4.org,false,false,false
perfectmoney.is,false,false,false
x1337x.ws,false,false,true
info.com,false,false,false
hatenablog.com,false,false,false
weather.com.cn,false,false,false
couponfollow.com,true,true,true
hackaday.com,false,false,false
health.com,false,false,false
verblife-2.co,false,false,false
series9.io,false,false,false
quidco.com,false,true,false
caichongwang.com,false,false,false
wipro.com,false,false,false
1000.menu,false,false,false
fshare.vn,true,false,false
chuansong.me,false,false,false
ymovies.tv,false,true,false
repelisplus.ch,false,false,false
hi-pda.com,false,false,false
uwa.edu.au,false,false,false
nlcafe.hu,false,false,false
ideapod.com,false,false,false
www2.series9.io,false,false,false
blogs.sapo.pt,false,false,false
tourister.ru,false,false,false
fssprus.ru,false,false,false
egaliteetreconciliation.fr,false,false,false
hollywoodlife.com,true,false,false
westlaw.com,false,false,false
bitflyer.com,true,true,false
rosuchebnik.ru,false,false,false
quickheal.com,false,false,false
hasznaltauto.hu,true,false,false
kenyans.co.ke,false,false,false
utilitooltech.com,false,false,false
pazar3.mk,false,false,false
mercedes-benz.com,false,false,false
corel.com,false,false,false
sheshaft.com,false,false,false
tanwan.com,false,false,false
signon.thomsonreuters.com,false,false,false
mediaite.com,false,false,false
portal.utilitooltech.com,false,false,false
mtb.com,false,false,false
bombuj.eu,true,false,false
fashionguide.com.tw,false,false,false
bashirian.biz,false,false,false
i-harness.com,false,false,false
toroporno.com,false,false,false
fx678.com,true,false,false
travelchinaguide.com,false,false,false
seodollars.com,false,false,false
ncsecu.org,false,false,false
wideads.com,false,false,false
sita.aero,false,false,false
hornet.com,false,false,false
theintercept.com,false,false,false
playcast.ru,false,false,false
qaynarinfo.az,false,false,false
waze.com,false,false,false
warez-bb.org,false,false,false
safeway.com,false,true,true
devexpress.com,false,false,false
chotot.com,false,false,false
6parker.com,false,false,false
novaskin.me,false,true,false
slidescarnival.com,false,false,false
adespresso.com,true,false,false
sonos.com,false,false,false
pap.fr,false,false,false
profinance.ru,false,false,false
9111.ru,false,false,false
bizpacreview.com,true,true,false
osapublishing.org,false,false,false
site.6parker.com,false,false,false
chevrolet.com,false,false,false
baku.ws,false,false,false
startlap.hu,false,false,false
descubrelo.la,false,false,false
merkur.de,true,true,false
alyamanalaraby.com,false,false,false
cj.com,false,false,false
utdallas.edu,false,false,false
vhlcentral.com,false,false,false
financesonline.com,false,false,false
maketecheasier.com,false,false,false
nic.ir,false,false,true
rtings.com,false,false,false
athenahealth.com,false,false,false
mpg.de,true,true,false
jeuxjeuxjeux.fr,false,false,false
myperfectresume.com,false,false,false
dinside.no,false,false,false
uestc.edu.cn,false,false,false
az.baku.ws,false,false,false
al.com,true,false,false
ledauphine.com,true,false,false
locanto.net,false,false,false
derpibooru.org,false,false,false
pegasuswebco.com,false,false,false
yoo7.com,false,false,false
qianzhan.com,false,false,false
sendong.com,false,false,false
swedbank.lv,false,false,false
minecraft-mp.com,false,false,false
zameen.com,false,false,false
kiss-anime.me,false,false,true
crutchfield.com,false,false,false
ddl-warez.to,false,false,true
radiofarda.com,false,false,false
2nafare.com,false,false,false
blizzard.cn,false,false,false
wi.gov,false,false,false
wisconsin.gov,false,false,false
disput.az,false,false,false
offcn.com,false,false,false
worldfree4u.ws,false,true,false
2banh.vn,false,false,false
10times.com,false,false,false
indgovtjobs.in,false,false,false
liverpoolfc.com,true,false,false
vesload.com,false,true,false
cybozulive.com,false,false,false
mobinnet.ir,true,false,false
battlenet.com.cn,false,false,false
altin.in,false,false,false
51test.net,false,false,false
prepinsta.com,false,false,false
cbse.nic.in,false,false,false
offers.com,false,false,false
chinesean.com,false,false,false
capgemini.com,true,false,false
fakings.com,false,false,false
caeddigital.net,false,false,false
seslisozluk.net,false,false,false
kinja.com,false,false,false
thepiratebay.online,false,false,false
glamour.com,false,false,false
mojifen.com,false,false,false
alukah.net,false,false,false
xn--41a.ws,false,false,false
cajamar.es,false,false,false
fujitsu.com,false,false,false
list.am,false,false,false
slideserve.com,false,false,false
alberta.ca,false,false,false
askmen.com,false,false,false
correos.es,true,false,false
flightsearchapp.com,false,false,false
youngpornvideos.com,true,false,false
wallpapercave.com,false,false,false
192-168-1-1ip.mobi,false,false,false
